id,type,src,dst,app,latency,message,ctime,size,buffer
34,LINK,54,7,3,1.00002,Fog.Node.3,402.00004,20,7
37,LINK,187,109,6,1.00002,Fog.Node.6,403.00006,20,1
39,LINK,36,155,8,1.00002,Fog.Node.8,403.00006,20,2
35,LINK,157,120,4,1.00002,Fog.Node.4,403.00006,20,3
38,LINK,60,92,7,1.00002,Fog.Node.7,403.00006,20,4
40,LINK,36,49,9,1.00002,Fog.Node.9,404.00008,20,0
40,LINK,49,10,9,1.00002,Fog.Node.9,405.00010000000003,20,0
41,LINK,0,126,0,1.00002,Fog.Node.0,500,20,0
42,LINK,0,36,1,1.00002,Fog.Node.1,500,20,1
43,LINK,0,118,2,1.00002,Fog.Node.2,500,20,2
44,LINK,0,113,3,1.00002,Fog.Node.3,500,20,3
45,LINK,0,118,4,1.00002,Fog.Node.4,500,20,4
46,LINK,0,142,5,1.00002,Fog.Node.5,500,20,5
47,LINK,0,36,6,1.00002,Fog.Node.6,500,20,6
48,LINK,0,36,7,1.00002,Fog.Node.7,500,20,7
49,LINK,0,113,8,1.00002,Fog.Node.8,500,20,8
50,LINK,0,41,9,1.00002,Fog.Node.9,500,20,9
41,LINK,126,150,0,1.00002,Fog.Node.0,501.00002,20,4
42,LINK,36,49,1,1.00002,Fog.Node.1,501.00002,20,5
43,LINK,118,151,2,1.00002,Fog.Node.2,501.00002,20,6
44,LINK,113,88,3,1.00002,Fog.Node.3,501.00002,20,7
46,LINK,142,60,5,1.00002,Fog.Node.5,501.00002,20,8
50,LINK,41,45,9,1.00002,Fog.Node.9,501.00002,20,9
45,LINK,118,33,4,1.00002,Fog.Node.4,502.00004,20,1
47,LINK,36,155,6,1.00002,Fog.Node.6,502.00004,20,2
49,LINK,113,135,8,1.00002,Fog.Node.8,502.00004,20,3
42,LINK,49,9,1,1.00002,Fog.Node.1,502.00004,20,4
46,LINK,60,89,5,1.00002,Fog.Node.5,502.00004,20,5
48,LINK,36,155,7,1.00002,Fog.Node.7,503.00006,20,0
45,LINK,33,77,4,1.00002,Fog.Node.4,503.00006,20,1
47,LINK,155,74,6,1.00002,Fog.Node.6,503.00006,20,2
49,LINK,135,108,8,1.00002,Fog.Node.8,503.00006,20,3
48,LINK,155,74,7,1.00002,Fog.Node.7,504.00008,20,0
51,LINK,0,36,0,1.00002,Fog.Node.0,600,20,0
52,LINK,0,41,1,1.00002,Fog.Node.1,600,20,1
53,LINK,0,133,2,1.00002,Fog.Node.2,600,20,2
54,LINK,0,187,3,1.00002,Fog.Node.3,600,20,3
55,LINK,0,133,4,1.00002,Fog.Node.4,600,20,4
56,LINK,0,187,5,1.00002,Fog.Node.5,600,20,5
57,LINK,0,41,6,1.00002,Fog.Node.6,600,20,6
58,LINK,0,41,7,1.00002,Fog.Node.7,600,20,7
59,LINK,0,125,8,1.00002,Fog.Node.8,600,20,8
60,LINK,0,173,9,1.00002,Fog.Node.9,600,20,9
51,LINK,36,49,0,1.00002,Fog.Node.0,601.00002,20,4
52,LINK,41,40,1,1.00002,Fog.Node.1,601.00002,20,5
53,LINK,133,28,2,1.00002,Fog.Node.2,601.00002,20,6
54,LINK,187,31,3,1.00002,Fog.Node.3,601.00002,20,7
59,LINK,125,35,8,1.00002,Fog.Node.8,601.00002,20,8
60,LINK,173,81,9,1.00002,Fog.Node.9,601.00002,20,9
55,LINK,133,28,4,1.00002,Fog.Node.4,602.0000399999999,20,1
56,LINK,187,38,5,1.00002,Fog.Node.5,602.0000399999999,20,2
57,LINK,41,190,6,1.00002,Fog.Node.6,602.0000399999999,20,3
51,LINK,49,21,0,1.00002,Fog.Node.0,602.0000399999999,20,4
52,LINK,40,55,1,1.00002,Fog.Node.1,602.0000399999999,20,5
53,LINK,28,30,2,1.00002,Fog.Node.2,602.0000399999999,20,6
54,LINK,31,48,3,1.00002,Fog.Node.3,602.0000399999999,20,7
59,LINK,35,123,8,1.00002,Fog.Node.8,602.0000399999999,20,8
60,LINK,81,91,9,1.00002,Fog.Node.9,602.0000399999999,20,9
58,LINK,41,149,7,1.00002,Fog.Node.7,603.0000599999998,20,0
55,LINK,28,172,4,1.00002,Fog.Node.4,603.0000599999998,20,1
57,LINK,190,164,6,1.00002,Fog.Node.6,603.0000599999998,20,2
58,LINK,149,171,7,1.00002,Fog.Node.7,604.0000799999998,20,0
61,LINK,0,173,0,1.00002,Fog.Node.0,700,20,0
62,LINK,0,142,1,1.00002,Fog.Node.1,700,20,1
63,LINK,0,36,2,1.00002,Fog.Node.2,700,20,2
64,LINK,0,173,3,1.00002,Fog.Node.3,700,20,3
