id,type,src,dst,app,latency,message,ctime,size,buffer
40,LINK,2,148,19,1.002,Fog.Node.19,203.00600000000003,2000,9
33,LINK,41,40,12,1.002,Fog.Node.12,204.00602000000003,2000,4
37,LINK,113,1,16,1.002,Fog.Node.16,204.00602000000003,2000,5
36,LINK,32,71,15,1.002,Fog.Node.15,204.00602000000003,2000,6
38,LINK,173,81,17,1.002,Fog.Node.17,204.00800000000004,2000,4
33,LINK,40,55,12,1.002,Fog.Node.12,205.00802000000004,2000,2
37,LINK,1,76,16,1.002,Fog.Node.16,205.00802000000004,2000,3
39,LINK,173,87,18,1.002,Fog.Node.18,205.01000000000005,2000,2
41,LINK,0,41,0,1.00002,Fog.Node.0,300,20,0
42,LINK,0,170,1,1.00002,Fog.Node.1,300,20,1
43,LINK,0,113,2,1.00002,Fog.Node.2,300,20,2
44,LINK,0,173,3,1.002,Fog.Node.3,300,2000,3
45,LINK,0,173,4,1.002,Fog.Node.4,300,2000,4
46,LINK,0,142,5,1.002,Fog.Node.5,300,2000,5
47,LINK,0,133,6,1.002,Fog.Node.6,300,2000,6
48,LINK,0,41,7,1.002,Fog.Node.7,300,2000,7
49,LINK,0,187,8,1.002,Fog.Node.8,300,2000,8
50,LINK,0,113,9,1.002,Fog.Node.9,300,2000,9
51,LINK,0,41,10,1.002,Fog.Node.10,300,2000,10
52,LINK,0,36,11,1.002,Fog.Node.11,300,2000,11
53,LINK,0,41,12,1.002,Fog.Node.12,300,2000,12
54,LINK,0,173,13,1.002,Fog.Node.13,300,2000,13
55,LINK,0,118,14,1.002,Fog.Node.14,300,2000,14
56,LINK,0,113,15,1.002,Fog.Node.15,300,2000,15
57,LINK,0,113,16,1.002,Fog.Node.16,300,2000,16
58,LINK,0,173,17,1.002,Fog.Node.17,300,2000,17
59,LINK,0,173,18,1.002,Fog.Node.18,300,2000,18
60,LINK,0,118,19,1.002,Fog.Node.19,300,2000,19
41,LINK,41,40,0,1.00002,Fog.Node.0,301.00002,20,17
42,LINK,170,61,1,1.00002,Fog.Node.1,301.00002,20,18
43,LINK,113,32,2,1.00002,Fog.Node.2,301.00002,20,19
44,LINK,173,73,3,1.002,Fog.Node.3,301.002,2000,14
46,LINK,142,60,5,1.002,Fog.Node.5,301.002,2000,15
47,LINK,133,96,6,1.002,Fog.Node.6,301.002,2000,16
49,LINK,187,109,8,1.002,Fog.Node.8,301.002,2000,17
52,LINK,36,49,11,1.002,Fog.Node.11,301.002,2000,18
55,LINK,118,33,14,1.002,Fog.Node.14,301.002,2000,19
41,LINK,40,55,0,1.00002,Fog.Node.0,302.00004,20,17
43,LINK,32,67,2,1.00002,Fog.Node.2,302.00004,20,18
48,LINK,41,45,7,1.002,Fog.Node.7,302.00202,2000,17
50,LINK,113,1,9,1.002,Fog.Node.9,302.00202,2000,18
45,LINK,173,81,4,1.002,Fog.Node.4,302.004,2000,11
60,LINK,118,2,19,1.002,Fog.Node.19,302.004,2000,12
46,LINK,60,89,5,1.002,Fog.Node.5,302.004,2000,13
